DATE,CPI
1/1/2010,95.391
4/1/2010,95.539
7/1/2010,95.723
10/1/2010,96.336
1/1/2011,97.145
4/1/2011,98.1
7/1/2011,98.554
10/1/2011,98.879
1/1/2012,99.534
4/1/2012,99.775
7/1/2012,100.065
10/1/2012,100.626
1/1/2013,100.989
4/1/2013,101.061
7/1/2013,101.471
10/1/2013,101.896
1/1/2014,102.386
4/1/2014,102.899
7/1/2014,103.19
10/1/2014,103.071
1/1/2015,102.643
4/1/2015,103.141
7/1/2015,103.39
10/1/2015,103.288
1/1/2016,103.343
4/1/2016,103.992
7/1/2016,104.382
10/1/2016,104.876
1/1/2017,105.497
4/1/2017,105.758
7/1/2017,106.142
10/1/2017,106.818
1/1/2018,107.588
4/1/2018,108.166
7/1/2018,108.552
10/1/2018,108.961
1/1/2019,109.188
4/1/2019,109.857
7/1/2019,110.144
10/1/2019,110.543
1/1/2020,110.946
4/1/2020,110.445
7/1/2020,111.366
10/1/2020,111.821
1/1/2021,113.059
4/1/2021,114.838
7/1/2021,116.413
10/1/2021,118.173
1/1/2022,120.323
4/1/2022,122.459
7/1/2022,123.719
